1	Chopped Beef & Egg Drop Thick Soup	5.75
2	Hot & Sour Soup	5.75
3	Tom Yum Seafood Soup	7.00
4	Assorted Meat & Bean Curd Thick Soup	6.00
5	Sliced Pork with Vegetable Soup	5.25
6	Sliced Beef with Vegetable Soup	5.25
7	Minced Chicken Corn Thick Soup	5.75
8	Crab Meat Fish Maw Thick Soup	8.50
9	Seaweed Tofu With Seafood Thick Soup	6.50
10	Pickled Cabbage Pepper Pork Stomach Soup	5.75

Seafood

11	Braised Halibut with Tofu Hot Pot	8.00
12	Shrimp and Cashew	8.50
13	Shrimp with Scrambled Egg	8.50
14	Shrimp and Peanut with Chili	8.50
15	Shrimp with Minced Pork in Black Bean Sauce	8.50
16	Saute Fresh Squid.	 8.50
17	Deep Fried Fresh Squid with Chili.	 8.50
18	Fresh Scallops with Vegetable	12.50
19	Saute Crystal of Shrimp	 8.50
20	Crystal Shrimp with Chili	8.50
21	Mixed Seafood in X0 Sauce	12.00
22	Deep Fried Shrimp with Chili in Shell	10.00
23	Pan Fried Shrimp in Shell	10.00
24	Saute Fresh Scallop	12.50
25	Fresh Straw Mushroom with Crab Meat	8.50
26	Sweet and Sour Fish Fillet	8.50
27	Deep Fried Fish Fillet with Spicy Salt	8.50
28	Deep Fried Fish Fillet with Cream Corn Sauce	8.50
29	Deep Fried Chicken Wings	0.00
30	Garlic Chicken Wings	7.75
31	Lemon Chicken	8.00
32	Sweet and Sour Chicken Ball	7.75
33	Braised Chicken with Black Bean Sauce	7.75
34	Braised Chicken in Cony Sauce	7.75
35	General Tao Chicken	7.75
36	Diced Chicken with Cashew Nut	7.75
37	Sliced Chicken with Ginger and Pineapple	7.75
38	Fried Pork Chop with Chefs Special Sauce	7.25
39	Fried Pork Chop with Spices	7.25
40	Sweet and Sour Pork	7.25
41	Pork Belly with Preserved Vegetable	7.25
42	Diced Pork with Cashew Nut	7.25
43	Goat Stew (Winter only	11.50
44	Sliced Beef in Oyster Sauce	7.25
45	Sliced Beef in Satay Sauce	7.25
46	Sliced Beef with Green Onion and Ginger	7.25
47	Shredded Fillet Mignon with Bean Sauce and Pepper	7.25
48	Sliced Beef in Curry Sauce	7.25
49	Sliced Beef with Onion & Pepper	7.25
50	Sliced Beef with Scrambled Egg	0.00
51	Braised Beef Flank Stew in Hot Pot	0.00
52	Fresh Lettuce with Oyster Sauce	4.50
53	Pan Fried Seasonal Vegetable	6.25
54	Pan Fried Chinese Broccoli	6.25
55	Braised Bean Curd with Vegetable	6.75
56	Braised Two Kinds of Mushrooms	7.50
57	Braised Mixed Vegetable	7.00
58	Sliced Beef with Vegetable	7.25
59	Sliced Beef with Fresh Mushroom	7.25
60	Fish Fillet with Celery	8.50
61	Braised Bean Curd with Mixed Vegetable	7.25
62	Bean Curd with Assorted Meat and Vegetable	7.75
63	Bean Curd with Minced Pork and Chili	7.25
64	Bean Curd with Chinese Mushroom in Hot Pot	7.75
65	Beef & Chinese Green with Rice	4.75
65A	Pickled Cabbage with Pork and Tofu on Rice	5.50
66	Beef & Fresh Egg with Rice	5.25
67	Beef in Egg Sauce with Rice	4.75
68	Minced Beef with Rice	4.75
69	Curry Beef with Rice	4.75
70	Beef Brisket with Rice	5.00
71	Curry Beef Brisket with Rice	5.00
72	Assorted Beef Internal with Rice	5.00
73	Beef Tendon with Rice	5.00
74	Curry Chicken with Rice	5.00
75	Spare-ribs in Black Bean Sauce with Rice	5.00
76	Assorted. Meats & Vegetables with Rice	5.25
77	Fresh Squid & Chinese Green with Rice	5.25
78	Shrimp in Egg Sauce with Rice	5.75
79	Chicken Fried Rice	4.75
80	BBQ Pork Fried Rice	4.75
81	Beef Fried Rice	4.75
81A	Seafood Fried Rice	8.00
82	Young Chow Fried Rice	5.25
83	Shrimp_ Fried Rice	5.25
84	Beef with Fried Rico Noodle	5.50
84A	Assorted Meat and Vegetables Fried Egg Noodle	6.00
